rowid,pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbper,pl_orbsmax,pl_insol
5082,OGLE-2018-BLG-0799L b,10.9,82.63538582,,,1.28,
5083,OGLE-2018-BLG-0932L b,13.9,282.86728223,,,1.75,
5084,OGLE-2018-BLG-0962L b,13.6,425.89006538,,,3.59,
5085,OGLE-2018-BLG-0977L b,2.41,6.4,,,2.0,
5086,OGLE-2018-BLG-1011L b,13.5,570.0,,,1.8,
5087,OGLE-2018-BLG-1011L c,13.2,890.0,,,0.8,
5088,OGLE-2018-BLG-1119L b,13.9,289.22385037,,,4.06,
5089,OGLE-2018-BLG-1126L b,4.41,17.79839079,,,3.23,
5090,OGLE-2018-BLG-1185L b,2.83,8.4,,,1.54,
5091,OGLE-2018-BLG-1212L b,9.32,63.5656814,,,1.68,
5092,OGLE-2018-BLG-1269L b,14.1,210.0,,,4.51,
5093,OGLE-2018-BLG-1367L b,13.8,301.93698665,,,1.21,
5094,OGLE-2018-BLG-1428L b,14.0,240.0,,,3.3,
5095,OGLE-2018-BLG-1647L b,13.8,308.29355479,,,1.36,
5096,OGLE-2018-BLG-1700L b,12.9,1400.0,,,2.8,
5097,OGLE-2019-BLG-0249L b,12.7,2262.93825784,,,1.84,
5098,OGLE-2019-BLG-0299L b,12.7,1976.89269154,,,2.8,
5099,OGLE-2019-BLG-0304L b,14.2,162.09248757,,,1.23,
5100,OGLE-2019-BLG-0362L b,13.1,1036.12060682,,,2.18,
5101,OGLE-2019-BLG-0468L b,13.1,1090.15143601,,,3.29,
5102,OGLE-2019-BLG-0468L c,12.5,3248.20631954,,,2.77,
5103,OGLE-2019-BLG-0679L b,13.1,1061.54687938,,,6.99,
5104,OGLE-2019-BLG-0954L b,12.3,4513.1633794,,,2.65,
5105,OGLE-2019-BLG-0960L b,1.39,2.5,,,1.9,
5106,OGLE-2019-BLG-1053L b,1.38,2.48,,,3.4,
5107,OGLE-2019-BLG-1180L b,13.5,555.24622703,,,5.19,
5108,OGLE-2019-BLG-1470L AB c,13.3,699.2224954,,,3.2,
5109,OGLE-2019-BLG-1492L b,6.79,37.1,,,2.7,
5110,OGLE-2023-BLG-0836L b,12.9,1385.73185452,,,3.7,
5111,OGLE-TR-10 b,14.011,197.046,1702.0,3.101278,0.0434,
5112,OGLE-TR-111 b,11.421971,174.799,1019.0,4.0144463,0.0473,
5113,OGLE-TR-113 b,12.251,400.449,1342.0,1.4324752,0.02289,528.4147
5114,OGLE-TR-132 b,13.45,375.02,2013.0,1.689868,0.03035,
5115,OGLE-TR-182 b,12.666,320.995,1550.0,3.9791,0.051,
5116,OGLE-TR-211 b,15.244,327.351,1686.0,3.67724,0.051,
5117,OGLE-TR-56 b,15.278,441.77,2212.0,1.2119189,0.02383,
5118,OGLE2-TR-L9 b,18.046,1430.175,2034.0,2.4855335,0.0308,4135.4482
5119,Oph 11 b,12.3,4449.62,2175.0,7300000.0,243.0,
5120,PDS 70 b,21.96960217,1017.0509024,1392.0,43500.0,20.8,
5121,PDS 70 c,22.19378179,2383.7130525,1054.0,,34.3,
5122,PH1 b,6.18,169.0,481.0,138.317,0.652,
5123,PH2 b,9.33708092,87.08498352,295.1,282.52542,0.833,1.2
5124,POTS-1 b,10.548,734.16,,3.1606296,0.03734,
5125,PSR B0329+54 b,1.22,1.97,,10140.0,10.26,
5126,PSR B1257+12 b,0.338,0.02,,25.262,0.19,
5127,PSR B1257+12 c,1.91,4.3,,66.5419,0.36,
5128,PSR B1257+12 d,1.8,3.9,,98.2114,0.46,
5131,PSR J2322-2650 b,13.9,252.643067,,0.322963997,0.0102,
5132,PZ Tel b,11.9,8581.366989,,44000.0,27.0,
5133,Pr0201 b,14.2,171.6282,,4.4264,0.06,
5134,Pr0211 b,13.4,597.5204,,2.1461,0.03176,
5135,Pr0211 c,12.6,2475.8957,,4850.0,5.5,
5136,Proxima Cen b,1.02,1.055,218.0,11.18465,0.04848,0.641
5137,Proxima Cen d,0.692,0.26,282.0,5.12338,0.02881,1.814
5138,Qatar-1 b,12.811887,411.27202,1418.0,1.4200242,0.02332,382.328
5139,Qatar-10 b,17.295487,233.92288,1955.0,1.645321,0.0286,1816.48
5140,Qatar-2 b,14.056,792.635,1344.0,1.33711647,0.02153,
5141,Qatar-3 b,12.285064,1369.8473,1681.0,2.5079204,0.03783,1330.0
5142,Qatar-4 b,12.722215,1938.763,1385.0,1.8053564,0.02803,614.0
5143,Qatar-5 b,12.408363,1373.0256,1415.0,2.8792319,0.04127,669.0
5144,Qatar-6 b,11.903958,212.31044,1006.0,3.506195,0.0423,174.9015
5145,Qatar-7 b,19.0553,597.5204,2053.0,2.032046,0.0352,2886.2922
5146,Qatar-8 b,14.403565,117.91493,1457.0,3.71495,0.0474,698.148
5147,Qatar-9 b,11.309881,378.2177,1134.0,1.540731,0.0234,210.669
5148,ROXs 12 b,12.2,5085.0,,,210.0,
5149,ROXs 42 B b,12.5,2860.0,1975.0,,157.0,
5150,RR Cae b,13.0,1334.886,,4343.5,5.3,
5151,Ross 128 b,1.11,1.4,301.0,9.8658,0.0496,1.38
5152,Ross 176 b,1.84,4.57,682.0,5.0066338,0.0464,36.2
5153,Ross 458 c,14.01125,1906.98,,,1100.0,
5154,Ross 508 b,1.83,4.0,,10.77,0.05366,
5156,SR 12 AB c,12.3,4131.62,,,,
5157,SWEEPS-11 b,12.666,3082.82,,1.796,0.03,
5158,SWEEPS-4 b,9.079,1207.7,,4.2,0.055,
5159,TAP 26 b,13.5,527.5978,,10.79,0.0968,
5160,TCP J05074264+2447555 b,4.72,20.0,,,0.94,
5161,TIC 139270665 b,7.22979255,147.15455244,703.0,23.624,0.163,40.3
5162,TIC 139270665 c,12.9,1554.18091023,200.0,1010.0,2.0,0.21
5163,TIC 172900988 b,11.25,942.0,,200.452,0.90281,
5164,TIC 237913194 b,12.520453,617.22586,974.0,15.168865,0.1207,83.3856
5165,TIC 241249530 b,13.29385111,1582.78546686,,165.7719,0.641,
5166,TIC 257060897 b,17.26183028,201.50321004,1775.0,3.66003639,0.04922,1804.5549
5167,TIC 279401253 b,11.2089807,1951.46641898,,76.8,0.369,
5168,TIC 279401253 c,12.6,2548.98382414,,155.3,0.591,
5169,TIC 365102760 b,6.21,19.2,,4.21285367,0.0622,
5170,TIC 393818343 b,12.18416202,1379.37528638,805.5,16.24921,0.1291,2.28
5171,TIC 434398831 b,3.51,12.1,1250.0,3.685504,0.04641,
5172,TIC 434398831 c,5.63,27.0,1050.0,6.210291,0.06572,
5173,TIC 46432937 b,13.31626907,1017.0509024,872.0,1.44044527,0.02065,
5174,TIC 4672985 b,11.5004142,4049.13390518,517.2,69.048,0.33,
5175,TIC 88785435 b,5.03,22.3,635.0,10.508843,0.08432,
5176,TOI-1011 b,1.45,4.04,1364.0,2.470498,0.03465851777198265,575.597
5177,TOI-1052 b,2.87,16.9,1135.0,9.139703,0.09103,246.0
5178,TOI-1052 c,6.48,34.3,719.0,35.806,0.2263,39.7
5179,TOI-1054.01,2.43432,6.5,853.0,15.5077855,0.1271377898958889,88.0718
5180,TOI-1062 b,2.265,10.15,1077.0,4.11296,0.052,232.0
5181,TOI-1062 c,3.1,9.78,859.0,7.972,0.08,95.0
5182,TOI-1064 b,2.587,13.5,784.0,6.443868,0.06152,62.9
5183,TOI-1064 c,2.651,2.5,634.0,12.226574,0.09429,26.8
5184,TOI-1075 b,1.791,9.95,1323.0,0.6047328,0.01159,509.2
5185,TOI-1080 b,1.2,10.7,368.0,3.9652482,0.0272,4.35
5186,TOI-1107 b,14.57167491,1064.72516345,1728.0,4.0782387,0.0561,532.0
5187,TOI-1117 b,2.46,8.9,1538.0,2.22816,0.033,928.0
5188,TOI-1117 c,2.91,8.78,1210.0,4.579,0.0534,355.0
5189,TOI-1117 d,3.27,10.71,978.0,8.665,0.0817,152.0
5190,TOI-1130 b,3.66,19.8,825.0,4.074554,0.0453,78.1
5191,TOI-1130 c,13.0,336.0,650.0,8.3501898,0.0731,30.0
5192,TOI-1135 b,9.91994792,58.79825529,1171.0,8.0277327,0.0815,310.0
5193,TOI-1136 b,1.9,3.5,1216.0,4.1727,0.05106,
5194,TOI-1136 c,2.879,6.32,1062.0,6.2574,0.0669,232.392
5195,TOI-1136 d,4.627,8.35,843.0,12.5199,0.1062,626.362
